Country,GDP
Africa Eastern and Southern,928880235176.594
Africa Western and Central,786962436538.391
Arab World,2535508549307.3
Caribbean small states,65860096129.8181
Central Europe and the Baltics,1665327992740.77
Early-demographic dividend,10941489484833.4
East Asia & Pacific,27148447173104.2
East Asia & Pacific (excluding high income),17487617929386.2
East Asia & Pacific (IDA & IBRD countries),17465796008751.6
Euro area,13097221769307.9
Europe & Central Asia,22156584402676.9
Europe & Central Asia (excluding high income),2991607694833.72
Europe & Central Asia (IDA & IBRD countries),3900173017455.42
European Union,15381174426002.4
Fragile and conflict affected situations,1666563897599.33
Heavily indebted poor countries (HIPC),811638956819.199
High income,53947360960778.9
IBRD only,30066587396556.6
IDA & IBRD total,32484256023829.4
IDA blend,1003544540837.38
IDA only,1413399718720.79
IDA total,2416944259558.17
Late-demographic dividend,22529291712189.9
Latin America & Caribbean,4809518812031.76
Latin America & Caribbean (excluding high income),4051085288658.45
Latin America & the Caribbean (IDA & IBRD countries),4561170249972.34
Least developed countries: UN classification,1162717433015.6
Low & middle income,31016572707353.3
Low income,438045256308.089
Lower middle income,6618962128022.98
Middle East & North Africa,3158039788609.26
Middle East & North Africa (excluding high income),1284883935058.67
Middle East & North Africa (IDA & IBRD countries),1269352235058.67
Middle income,30578372789487.2
North America,22714959162302.7
OECD members,52575486320263.9
Other small states,378440036056.011
Pacific island small states,9492350931.30444
Post-demographic dividend,49726001311157.6
Pre-demographic dividend,1309417999889.29
Small states,453792483117.133
South Asia,3489923527067.67
South Asia (IDA & IBRD),3489923527067.67
Sub-Saharan Africa,1715842671714.98
Sub-Saharan Africa (excluding high income),1714659156400.95
Sub-Saharan Africa (IDA & IBRD countries),1715842671714.98
Upper middle income,23959410661464.3
World,85257737349905.5
Afghanistan,19955929060.841
Albania,15162734205.2462
Algeria,145743542982.628
American Samoa,721000000.0
Andorra,2891002460.29153
Angola,48501561230.001
Antigua and Barbuda,1410796296.2963
Argentina,385740508436.965
Armenia,12641698583.2152
Aruba,2558906303.88098
Australia,1330381544909.3
Austria,435049316955.737
Azerbaijan,42693000000.0
"Bahamas, The",9754600000.0
Bahrain,34621807712.766
Bangladesh,373902197869.16
Barbados,4738800000.0
Belarus,61371755326.2351
Belgium,526264230147.394
Belize,2047727810.06777
Benin,15686741893.5187
Bermuda,6887147000.0
Bhutan,2457604042.76364
Bolivia,36629843806.0781
Bosnia and Herzegovina,20226036564.4129
Botswana,14960291541.176
Brazil,1476107231194.11
Brunei Darussalam,12005799653.9835
Bulgaria,70368758395.141
Burkina Faso,17725010530.7894
Burundi,2649680261.43998
Cabo Verde,1821565613.68613
Cambodia,25872797891.7664
Cameroon,40773241177.0505
Canada,1647598402302.68
Cayman Islands,5647224988.89996
Central African Republic,2326720900.38047
Chad,10715396042.3343
Channel Islands,9811538461.53846
Chile,254258196269.735
China,14687744162801.0
Colombia,270150956772.57
Comoros,1225039195.93742
"Congo, Dem. Rep.",48716961860.1325
"Congo, Rep.",11468608530.2038
Costa Rica,62395610760.3912
Cote d'Ivoire,62982768371.6208
Croatia,57760024673.9359
Cuba,107351800000.0
Curacao,2534327592.49914
Cyprus,25227201184.2295
Czechia,245974558654.043
Denmark,354762748338.661
Djibouti,3185150981.03207
Dominica,504214814.814815
Dominican Republic,78844656298.1776
Ecuador,99291124000.0
"Egypt, Arab Rep.",383817841547.099
El Salvador,24930080000.0
Equatorial Guinea,9893816016.147
Estonia,31370395572.7658
Eswatini,3982236692.55236
Ethiopia,107657734392.446
Faroe Islands,3262045883.37293
Fiji,4432466237.09588
Finland,271886077382.102
France,2647418691598.45
French Polynesia,5792545870.80614
Gabon,15314577154.8076
"Gambia, The",1812170891.19069
Georgia,15842922532.7202
Germany,3887727161914.41
Ghana,70043095503.6675
Greece,188480337285.605
Greenland,3082884653.2456
Grenada,1043411111.11111
Guam,5886000000.0
Guatemala,77715183063.2054
Guinea,14177835841.3923
Guinea-Bissau,1431758231.68522
Guyana,5471256594.72422
Haiti,14508222518.3018
Honduras,23827859226.8834
"Hong Kong SAR, China",344943149590.058
Hungary,157227094449.074
Iceland,21565767851.144
India,2671595405986.86
Indonesia,1059054842698.48
"Iran, Islamic Rep.",239735486745.704
Iraq,180924091442.953
Ireland,428608687830.239
Isle of Man,6684229268.50545
Israel,413267669231.522
Italy,1897461635591.91
Jamaica,13812421803.4084
Japan,5048789595589.43
Jordan,43700383098.5916
Kazakhstan,171082365861.423
Kenya,100657505750.545
Kiribati,177553274.584763
"Korea, Rep.",1644312831906.17
Kosovo,7717145217.81247
Kuwait,105948807280.731
Kyrgyz Republic,8270468614.24051
Lao PDR,18981800705.0794
Latvia,34390910338.9604
Lebanon,31712128253.7961
Lesotho,2067813018.99465
Liberia,3039982500.0
Libya,46808208746.0839
Liechtenstein,6405870210.32293
Lithuania,56964942999.3651
Luxembourg,73699366700.2134
"Macao SAR, China",25343525935.8358
Madagascar,13051441203.9474
Malawi,12056108778.3125
Malaysia,337456163961.211
Maldives,3712604580.32081
Mali,17465392764.3706
Malta,15252609039.0749
Marshall Islands,240751144.40918
Mauritania,8260752385.23089
Mauritius,11408106446.3144
Mexico,1120741118380.27
"Micronesia, Fed. Sts.",408000000.0
Moldova,11531967881.0624
Monaco,6739645416.47916
Mongolia,13312981429.0891
Montenegro,4769996866.00758
Morocco,121353645057.144
Mozambique,14235420505.2904
Myanmar,79045695084.5069
Namibia,10583748541.5258
Nauru,124685688.161094
Nepal,33433659223.6349
Netherlands,909793466661.481
New Caledonia,9454629467.91408
New Zealand,212569779569.519
Nicaragua,12678162403.5929
Niger,13744653102.9945
Nigeria,432198898221.967
North Macedonia,12363580534.6811
Northern Mariana Islands,858000000.0
Norway,367633418886.627
Oman,75909397659.2978
Pakistan,300425609817.981
Palau,257885921.875
Panama,57086836900.0
Papua New Guinea,23848445103.9227
Paraguay,35432178068.1814
Peru,201947615138.567
Philippines,361751145451.597
Poland,599442783598.064
Portugal,229031860520.777
Puerto Rico,103130900000.0
Qatar,144411363345.27
Romania,251362514349.697
Russian Federation,1493075894362.14
Rwanda,10172303393.0612
Samoa,868898358.266437
San Marino,1541247883.99351
Sao Tome and Principe,471229484.607144
Saudi Arabia,734271183944.989
Senegal,24530513037.7518
Serbia,53356484591.4378
Seychelles,1183515314.03478
Sierra Leone,4062906265.7332
Singapore,348392090695.217
Sint Maarten (Dutch part),1236428075.42112
Slovak Republic,106731482855.496
Slovenia,53734526854.2289
Solomon Islands,1536145814.17007
Somalia,9204140383.17507
South Africa,338291396025.956
Spain,1278128867875.49
Sri Lanka,84440516486.1099
St. Kitts and Nevis,883933333.333333
St. Lucia,1604444444.44444
St. Vincent and the Grenadines,869111111.111111
Sudan,27034593750.0
Suriname,2911807496.20227
Sweden,547054174235.876
Switzerland,741999406005.627
Syrian Arab Republic,11156757922.0385
Tajikistan,8133963813.07025
Tanzania,66068737786.0639
Thailand,500457264955.763
Timor-Leste,2162619200.0
Togo,7486031561.86885
Tonga,484796854.918756
Trinidad and Tobago,20807571314.3043
Tunisia,42538289933.2162
Turkiye,720338498174.744
Turkmenistan,45818000000.0
Turks and Caicos Islands,924583000.0
Tuvalu,51746594.3148543
Uganda,37605430214.3519
Ukraine,156617722013.342
United Arab Emirates,349473015336.939
United Kingdom,2697806592293.86
United States,21060473613000.0
Uruguay,53666908053.7655
Uzbekistan,60224701296.7885
Vanuatu,909421043.508407
Viet Nam,346615738537.796
Virgin Islands (U.S.),4189000000.0
West Bank and Gaza,15531700000.0
Zambia,18110638269.2238
Zimbabwe,21509698406.6618
